slot,time,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active,price_eur_mwh
0,00:00,2102.774254956413,2100.3671509618034,2.407103994609745,2102.774254956413,1.0420678644088717,2101.4092188262125,0.9177348454132687,0.9171390890124185,211,93,72.00150726089134
1,00:15,2082.61222591186,2080.7938742318106,1.8183516800497102,2082.61222591186,0.7718242170154903,2081.565698448826,0.9089353289816752,0.9084785825110331,165,70,72.00150726089134
2,00:30,2037.9248994313239,2036.5103509062426,1.414548525081227,2037.9248994313239,0.6042757733027471,2037.1146266795454,0.8894319911588534,0.8890783556999623,129,55,72.00150726089134
3,00:45,2019.2868638769949,2018.2125423272676,1.0743215497273997,2019.2868638769949,0.44040370284138025,2018.652946030109,0.8812976064820667,0.881020939362025,98,40,72.00150726089134
4,01:00,1996.4270162244668,1995.6359878282212,0.7910283962454527,1996.4270162244668,0.3389283074777748,1995.974916135699,0.8713206540335983,0.8711233394601966,72,31,66.68505131414268
5,01:15,1978.3780227847403,1977.8201095731763,0.5579132115639313,1978.3780227847403,0.22644550374715955,1978.0465550769234,0.8634433509111973,0.8632986851369822,51,21,66.68505131414268
6,01:30,1977.540549990911,1977.1722065224963,0.3683434684146015,1977.540549990911,0.15068636721364648,1977.32289288971,0.8630778442653121,0.8629828499949319,33,14,66.68505131414268
7,01:45,1965.6337839730527,1965.4177836119957,0.21600036105694737,1965.6337839730527,7.545188633643085,1972.9629722456389,0.8578812550237354,0.8610800061262335,20,803,66.68505131414268
8,02:00,1949.200352700386,1949.1053310111301,0.09502168925580923,1949.200352700386,12.558962737862878,1961.664293748993,0.8507090478916184,0.8561488106167524,9,1337,63.89488610763455
9,02:15,1944.0267542426213,1944.0266544166707,9.982595060382066e-05,1944.0267542426213,12.509933033381467,1956.5365874500521,0.8484510824587262,0.8539108743587395,0,1333,63.89488610763455
10,02:30,1915.1506343490778,1915.1504232375967,0.00021111148116043053,1915.1506343490778,17.45835868972326,1932.60878192732,0.8358483880115349,0.8434678223522185,0,1405,63.89488610763455
11,02:45,1915.5976902908083,1915.5972558011824,0.0004344896258146398,1915.5976902908083,17.074683387107626,1932.67193918829,0.8360435011172846,0.8434953867086854,0,1422,63.89488610763455
12,03:00,1921.3727032372828,1921.3718329442645,0.0008702930183882125,1921.3727032372828,15.027587064368042,1936.3994200086324,0.8385639479038096,0.8451222085258037,0,1390,61.357474342928654
13,03:15,1908.593996661648,1908.5923000145456,0.0016966471022636705,1908.593996661648,26.034202645465818,1934.6265026600113,0.8329868089046378,0.8443484364363689,0,1622,61.357474342928654
14,03:30,1905.9011110689248,1905.8978916228186,0.003219446106217063,1905.9011110689248,28.254076662148524,1934.151968284967,0.8318115258530558,0.8441413306425358,0,1622,61.357474342928654
15,03:45,1928.4756448211956,1928.4696983314427,0.005946489752949573,1928.4756448211956,12.516340690020114,1940.9860390214628,0.8416639558961687,0.8471239926359087,0,1333,61.357474342928654
16,04:00,1964.7513772846087,1964.7406852782306,0.010692006378101564,1964.7513772846087,12.521541543384515,1977.262226821615,0.857496137427825,0.8629563728947423,1,1334,61.061131414267834
17,04:15,1975.8066330422603,1975.7879172098592,0.018715832401052682,1975.8066330422603,5.078872426184929,1980.8667896360441,0.86232109351136,0.8645295483744615,1,540,61.061131414267834
18,04:30,1982.6866822441975,1982.6547854884848,0.031896755712789125,1982.6866822441975,0.03334199302622305,1982.688127481511,0.8653238223472742,0.8653244531066813,2,2,61.061131414267834
19,04:45,1990.963858600351,1990.9109274417285,0.052931158622441916,1990.963858600351,0.054779380382730766,1990.9657068221113,0.8689363133913165,0.8689371200292652,3,3,61.061131414267834
20,05:00,2019.5370803082521,2019.451544401696,0.08553590655616344,2019.5370803082521,0.08889729814277324,2019.5404416998388,0.8814068109472243,0.8814082779930476,4,5,64.70441551939925
21,05:15,2036.7797184607502,2036.6450991309023,0.1346193298480307,2036.7797184607502,0.1321175398626137,2036.7772166707648,0.8889321883490547,0.8889310964677745,7,8,64.70441551939925
22,05:30,2065.0700396789825,2064.863671065969,0.2063686130135267,2065.0700396789825,0.20752066136190706,2065.0711917273306,0.901279216808581,0.9012797196085892,11,12,64.70441551939925
23,05:45,2088.672895541415,2088.364705421214,0.3081901202011016,2088.672895541415,0.31999310212652526,2088.68469852334,0.9115804477776991,0.9115855990714088,16,18,64.70441551939925
24,06:00,2106.098755189788,2105.48178844706,0.6169667427281533,2106.098755189788,0.6494396334764942,2106.1312280805364,0.9191857903735091,0.9191999628427131,24,26,76.242112640801
25,06:15,2142.747100381644,2141.7785172656722,0.9685831159717387,2142.747100381644,1.0005792286846,2142.779096494357,0.9351805950131529,0.9351945593973398,34,38,76.242112640801
26,06:30,2191.3060437690347,2190.012823294662,1.2932204743722724,2191.3060437690347,1.2822095275313643,2191.2950328221937,0.9563736614100887,0.9563688557921898,45,49,76.242112640801
27,06:45,2220.16017444424,2218.468811781431,1.6913626628086953,2220.16017444424,1.6689204931822725,2220.1377322746134,0.9689667588823101,0.9689569642212692,58,64,76.242112640801
28,07:00,2289.175872501919,2287.0132178431195,2.1626546587995663,2289.175872501919,2.1757416784612227,2289.1889595215807,0.9990879717698846,0.9990936834690543,75,82,88.03397997496872
29,07:15,2366.7666698037497,2364.066533063397,2.7001367403526464,2366.7666698037497,2.7649425104382295,2366.831475573835,1.032951701173764,1.032979985005588,94,103,88.03397997496872
30,07:30,2431.715759200998,2428.42656407966,3.289195121338226,2431.715759200998,3.3193313490754663,2431.7458954287354,1.0612980832816958,1.06131123593764,116,127,88.03397997496872
31,07:45,2504.670263252201,2500.7629418287256,3.907321423475251,2504.670263252201,3.8129181318079386,2504.5758599605338,1.0931383487499546,1.0930971473751134,140,143,88.03397997496872
32,08:00,2549.989465021744,2545.464561935085,4.524903086659143,2549.989465021744,4.3205924360611565,2549.7851543711463,1.112917462238809,1.1128282928936448,165,159,91.84339674593241
33,08:15,2613.0449083234926,2607.937796037071,5.107112286421203,2613.0449083234926,3.3727081623381396,2611.3105041994095,1.1404373814001718,1.1396804180233626,191,143,91.84339674593241
34,08:30,2646.531169648622,2640.8796152971195,5.651554351502406,2646.531169648622,2.6551383798173824,2643.534753676937,1.1550521260824644,1.1537443702251313,217,135,91.84339674593241
35,08:45,2658.66711381714,2652.566622959339,6.1004908578009385,2658.66711381714,3.1539966202481047,2655.720619579587,1.1603487378415187,1.1590627698270075,243,149,91.84339674593241
36,09:00,2671.05703484069,2664.631222639982,6.425812200708089,2671.05703484069,3.7816092794480123,2668.4128319194297,1.1657561952651716,1.1646021592798708,265,157,86.27630037546933
37,09:15,2695.1949339893213,2688.58740171568,6.607532273641648,2695.1949339893213,3.0159197042996317,2691.6033214199792,1.1762909405387338,1.1747234170642857,282,157,86.27630037546933
38,09:30,2676.104466041351,2669.468535558598,6.635930482752797,2676.104466041351,3.0745816036206683,2672.5431171622186,1.1679590962573985,1.1664047810686191,294,165,86.27630037546933
39,09:45,2656.0302705655436,2649.5178372048304,6.512433360713383,2656.0302705655436,3.4373125289220003,2652.9551497337525,1.1591979139106194,1.157855808102286,301,183,86.27630037546933
40,10:00,2648.4939115586826,2642.244770771496,6.249140787186504,2648.4939115586826,3.842295643385881,2646.087066414882,1.1559087452079697,1.1548583016566596,301,192,77.34846808510639
41,10:15,2619.1324654688588,2613.2653234978593,5.867141970999246,2619.1324654688588,3.1925685352693742,2616.4578920331287,1.1430942349842304,1.1419269440908781,294,200,77.34846808510639
42,10:30,2625.2157108815527,2619.8217478732145,5.393963008338207,2625.2157108815527,2.7335277468169252,2622.5552756200314,1.14574920675558,1.1445880863273126,282,201,77.34846808510639
43,10:45,2615.509317510218,2610.648717519133,4.8605999910849516,2615.509317510218,2.99506704329123,2613.643784562424,1.1415129482037332,1.1406987549600116,265,218,77.34846808510639
44,11:00,2606.365328203266,2602.066725065857,4.298603137408841,2606.365328203266,9.679906048751562,2611.7466311146086,1.1375221452950062,1.1398707612645151,244,349,70.93126908635794
45,11:15,2615.808981758617,2612.071382861447,3.737598897170004,2615.808981758617,8.259905980516027,2620.331288841963,1.14164373367537,1.1436174494854545,221,364,70.93126908635794
46,11:30,2611.5543581561114,2608.3508586298385,3.2034995262728927,2611.5543581561114,3.906988911723412,2612.257847541562,1.1397868456499751,1.1400938765739486,196,267,70.93126908635794
47,11:45,2624.5416554752846,2621.824162352318,2.717493122966565,2624.5416554752846,2.6265627705096746,2624.450725122828,1.1454550219981752,1.1454153363530049,171,234,70.93126908635794
48,12:00,2631.719135890581,2629.423367920873,2.295767969708327,2631.719135890581,2.4573726960821523,2631.880740616955,1.1485875617198607,1.1486580924904497,147,222,64.54491236855283
49,12:15,2631.7214053251787,2629.7715781258134,1.9498271993650784,2631.7214053251787,2.2867761615791125,2632.0583542873924,1.14858855219195,1.1487356102049633,125,205,64.54491236855283
50,12:30,2628.183942954941,2626.4967414236385,1.6872015313024484,2628.183942954941,2.2278736049045227,2628.724615028543,1.1470446620316757,1.1472806329642269,106,193,64.54491236855283
51,12:45,2629.3191233953266,2627.8067597190343,1.5123636762924535,2629.3191233953266,2.113258614192481,2629.920018333227,1.1475401002098433,1.1478023548107086,91,175,64.54491236855283
52,13:00,2637.9872025914287,2636.5595281741225,1.4276744173062754,2637.9872025914287,1.8050573473396498,2638.3645855214622,1.1513231968985698,1.1514879019134516,80,153,60.76008512769154
53,13:15,2625.1607923985616,2623.7265605478233,1.4342318507382894,2625.1607923985616,2.6261911020598925,2626.352751649883,1.1457252381315683,1.1462454568553195,73,149,60.76008512769154
54,13:30,2615.2135204106667,2613.6809812386414,1.5325391720254908,2615.2135204106667,3.4428756704067354,2617.1238569090483,1.1413838505106306,1.142217597817027,70,174,60.76008512769154
55,13:45,2568.398635771837,2566.6756906544397,1.7229451173972157,2568.398635771837,3.6715340871182205,2570.347224741558,1.1209519611550387,1.1218024033709284,72,166,60.76008512769154
56,14:00,2560.1185000515948,2558.1126580286723,2.0058420229226845,2560.1185000515948,7.012725272608618,2565.125383301281,1.1173381785260637,1.1195233827696112,78,236,60.668154732098145
57,14:15,2557.184076009318,2554.802446015616,2.381629993701461,2557.184076009318,8.76972792564782,2563.572173941264,1.1160574784278634,1.1188455000399031,89,246,60.668154732098145
58,14:30,2582.8197167020217,2579.969242947814,2.85047375420748,2582.8197167020217,2.917066428144812,2582.8863093759587,1.1272458980562348,1.127274961764418,104,146,60.668154732098145
59,14:45,2583.021117586639,2579.609224536135,3.4118930505039082,2583.021117586639,3.906868323100753,2583.516092859236,1.127333797463066,1.127549824482709,124,167,60.668154732098145
60,15:00,2583.666001409217,2579.6017626242287,4.064238784988312,2583.666001409217,3.8956758831012555,2583.49743850733,1.1276152505737973,1.1275416829769234,148,182,64.89689784677016
61,15:15,2615.200406511867,2610.3962912251272,4.804115286739732,2615.200406511867,3.2730960073827697,2613.66938723251,1.1413781270803294,1.1407099289899476,176,170,64.89689784677016
62,15:30,2612.1547152924877,2606.5289016384086,5.625813654079303,2612.1547152924877,3.747931680616457,2610.276833319025,1.1400488655327308,1.1392292826799553,208,176,64.89689784677016
